s_name,classification,schemecode,return_year1,return_year2,return_year3,return_year4,return_year5,return_year6,return_year7,return_year8,return_year9,return_year10,rank_year1,rank_year2,rank_year3,rank_year4,rank_year5,rank_year6,rank_year7,rank_year8,rank_year9,rank_year10,return_month1,return_month2,return_month3,return_month4,return_month5,return_month6,return_month7,return_month8,return_month9,return_month10,rank_month1,rank_month2,rank_month3,rank_month4,rank_month5,rank_month6,rank_month7,rank_month8,rank_month9,rank_month10,return_quarter1,return_quarter2,return_quarter3,return_quarter4,return_quarter5,return_quarter6,return_quarter7,return_quarter8,return_quarter9,return_quarter10,rank_quarter1,rank_quarter2,rank_quarter3,rank_quarter4,rank_quarter5,rank_quarter6,rank_quarter7,rank_quarter8,rank_quarter9,rank_quarter10,avg_year1,avg_year2,avg_year3,avg_year4,avg_year5,avg_year6,avg_year7,avg_year8,avg_year9,avg_year10,avg_month1,avg_month2,avg_month3,avg_month4,avg_month5,avg_month6,avg_month7,avg_month8,avg_month9,avg_month10,avg_quarter1,avg_quarter2,avg_quarter3,avg_quarter4,avg_quarter5,avg_quarter6,avg_quarter7,avg_quarter8,avg_quarter9,avg_quarter10,num_funds_year1,num_funds_year2,num_funds_year3,num_funds_year4,num_funds_year5,num_funds_year6,num_funds_year7,num_funds_year8,num_funds_year9,num_funds_year10,num_funds_month1,num_funds_month2,num_funds_month3,num_funds_month4,num_funds_month5,num_funds_month6,num_funds_month7,num_funds_month8,num_funds_month9,num_funds_month10,num_funds_quater10,num_funds_quater9,num_funds_quater8,num_funds_quater7,num_funds_quater6,num_funds_quater5,num_funds_quater4,num_funds_quater3,num_funds_quater2,num_funds_quater1
SBI Nifty 50 ETF,Equity : ETFs,33369,9.99,21.25,5.61,25.47,15.71,13.44,4.61,30.16,4.47,-,104,86,42,41,34,20,19,20,15,-,-5.78,-0.45,-2.02,-0.26,-6.12,2.27,1.35,3.98,6.74,0.02,50,32,78,117,82,89,60,98,80,71,-8.25,7.78,8.09,2.91,10.83,2.69,11.02,-4.04,6.04,8.69,100,70,86,87,84,85,88,59,52,59,17.22,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,-7.57,-2.9,-1.45,0.61,-6.07,2.1,1.16,4.77,6.69,0.76,-6.75,8.24,10.43,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,141,122,93,72,61,53,47,43,37,-,172,171,169,169,164,161,157,154,151,149,103,117,122,129,129,138,141,149,154,164
SBI BSE Sensex ETF,Equity : ETFs,20447,9.37,20.27,5.72,23.16,17.04,15.58,7.15,29.45,3.37,-2.97,117,101,30,51,15,9,7,33,31,12,-5.45,-0.78,-2.1,0.56,-5.7,2.35,0.95,3.51,7.06,-0.33,36,46,96,59,64,61,85,115,47,105,-7.17,6.94,7.91,2.09,9.94,2.06,10.37,-2.89,6.12,8.61,79,107,103,97,101,97,108,38,35,71,17.22,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,-7.57,-2.9,-1.45,0.61,-6.07,2.1,1.16,4.77,6.69,0.76,-6.75,8.24,10.43,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,141,122,93,72,61,53,47,43,37,25,172,171,169,169,164,161,157,154,151,149,103,117,122,129,129,138,141,149,154,164
HDFC Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,1273,16.71,31.3,18.78,26.36,7.57,6.89,-0.78,35.42,6.59,-0.37,4,1,1,1,17,13,12,1,4,11,-4.33,-2,-0.78,0.09,-2.43,0.38,0.29,3.62,2.92,2.44,22,15,26,24,8,28,30,4,28,1,-3.1,4.32,9.3,5.64,11.25,9.17,8.85,-0.68,7.29,8.63,19,24,1,5,2,3,3,7,1,3,12.97,18.6,3.87,13.88,12.21,7.7,1.12,20.1,5.49,3.55,-4.2,-2.36,-0.38,0.39,-3.18,1.14,1.15,2.9,3.78,0.63,-3.16,5.26,6.58,4.04,7.63,4.16,7.8,-1.48,2.64,6.26,30,24,22,19,19,16,14,12,11,11,33,33,33,33,33,33,32,32,32,32,22,24,24,25,26,27,30,32,32,33
Parag Parikh Flexi Cap Fund-Reg(G),Equity : Flexi Cap,21520,23.92,36.57,-7.23,45.51,32.29,14.43,-0.43,29.36,3.28,8.94,13,3,30,3,3,4,4,19,12,3,-4.56,-0.33,0.99,0.85,-3.03,3.12,1.1,3.55,5.3,0.98,2,1,7,20,2,8,33,30,45,25,-1.24,7.96,9.25,6.38,11.57,5.18,12.19,3.73,2.06,6.26,6,25,43,16,19,30,29,1,25,35,20.6,28.36,0.44,33.22,17.62,9.98,-5.03,36.15,4.25,1.92,-7.82,-5.46,-0.58,0.56,-5.46,2.04,1.57,4.07,7.29,1.06,-5.46,7.86,12.89,4.95,11.62,6.35,12.91,-4.01,2.6,11.24,46,39,33,29,26,26,23,21,21,19,48,48,48,48,48,48,48,48,48,48,35,39,39,41,43,45,46,47,48,48
HDFC Liquid Fund(G),Debt : Liquid,1286,7.33,6.95,4.77,3.21,4.11,6.52,7.23,6.53,7.59,8.35,17,23,20,26,20,17,25,26,21,13,0.54,0.58,0.58,0.56,0.58,0.58,0.57,0.6,0.56,0.59,13,26,25,23,22,21,16,16,23,23,1.73,1.77,1.78,1.86,1.73,1.69,1.7,1.66,1.59,1.26,23,17,18,5,29,22,16,16,17,23,7.24,6.92,4.76,3.23,4.03,6.47,6.91,6.62,7.57,8.3,0.53,0.58,0.58,0.55,0.58,0.58,0.57,0.59,0.56,0.59,1.72,1.75,1.76,1.81,1.73,1.68,1.68,1.64,1.58,1.26,37,35,35,34,34,32,30,30,29,29,38,38,38,37,37,37,37,37,37,37,35,35,35,36,36,37,37,37,37,37
SBI Equity Hybrid Fund-Reg(G),Hybrid : Equity Oriented,2747,14.21,16.41,2.27,23.6,12.9,13.49,-0.06,27.66,3.7,7.36,24,28,33,17,21,6,16,7,27,4,-3.66,-0.53,-0.7,1,-4.47,2.2,1.01,2.42,4.97,0.48,24,14,41,9,48,7,32,28,22,35,-4.19,5.73,8.12,4.27,7.41,3.97,9.34,-4.66,1.9,8.62,41,21,26,15,26,25,17,52,38,11,13.84,17.14,2.68,19.47,11.86,7.41,-1.41,20.48,6.33,3.95,-4.1,-2.19,-0.19,0.41,-2.67,1.22,1.12,2.66,4.13,0.73,-2.44,5.08,7.27,3.53,6.66,3.81,7.43,-1.57,2.69,6.24,55,54,54,52,51,46,38,36,33,29,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,55,55,55,55,55
HDFC Mid-Cap Opportunities Fund(G),Equity : Mid Cap,1305,28.62,44.47,12.29,39.91,21.75,0.2,-11.2,41.66,11.35,5.81,15,4,2,18,16,14,9,13,2,18,-8.58,-6.64,1.68,0.4,-4.09,2.69,-0.67,6.24,7.13,2.48,4,6,8,20,3,10,28,3,27,15,-2.08,8.37,14.47,5.88,12.18,10.95,19.3,-2.7,4.7,17.2,7,13,28,10,13,13,2,7,3,5,28.88,36.87,2.52,44.05,24.02,3.22,-11.45,42.34,4.33,8.82,-9.83,-7.84,1,0.65,-5.6,2.22,1.05,4.61,8.74,2.53,-4.02,8.06,18.54,4.75,11.82,10.1,15.84,-4.03,0.51,15.09,30,30,25,24,23,22,21,20,20,20,30,30,30,30,30,30,30,30,30,30,25,27,30,30,30,30,30,30,30,30
SBI Liquid Fund-Reg(G),Debt : Liquid,2828,7.26,6.95,4.76,3.27,4.18,6.51,7.31,6.55,7.59,8.28,26,25,21,10,13,18,23,25,19,21,0.54,0.58,0.57,0.55,0.58,0.58,0.57,0.6,0.56,0.59,14,30,33,28,28,32,26,20,29,27,1.71,1.76,1.77,1.84,1.73,1.69,1.69,1.66,1.6,1.26,30,26,26,17,27,23,22,18,13,20,7.24,6.92,4.76,3.23,4.03,6.47,6.91,6.62,7.57,8.3,0.53,0.58,0.58,0.55,0.58,0.58,0.57,0.59,0.56,0.59,1.72,1.75,1.76,1.81,1.73,1.68,1.68,1.64,1.58,1.26,37,35,35,34,34,32,30,30,29,29,38,38,38,37,37,37,37,37,37,37,35,35,35,36,36,37,37,37,37,37
HDFC Flexi Cap Fund(G),Equity : Flexi Cap,1131,23.48,30.6,18.29,36.17,6.44,6.83,-3.53,36.86,7.26,-5.09,15,13,1,10,26,21,8,11,6,17,-4.39,-2.44,-1.27,0.33,-3.74,2.93,1.71,3.3,6.51,2.11,1,5,34,29,5,12,26,37,34,11,-4.65,8.15,12.31,6.61,12.8,6.44,11.86,-2.75,8.16,11.19,18,20,25,14,12,18,31,7,1,17,20.6,28.36,0.44,33.22,17.62,9.98,-5.03,36.15,4.25,1.92,-7.82,-5.46,-0.58,0.56,-5.46,2.04,1.57,4.07,7.29,1.06,-5.46,7.86,12.89,4.95,11.62,6.35,12.91,-4.01,2.6,11.24,46,39,33,29,26,26,23,21,21,19,48,48,48,48,48,48,48,48,48,48,35,39,39,41,43,45,46,47,48,48
ICICI Pru Bluechip Fund(G),Equity : Large Cap,4980,16.87,27.39,6.85,29.17,13.49,9.77,-0.81,32.75,7.74,-0.21,13,9,5,9,22,21,11,10,6,17,-6.03,-1.22,-2.04,-0.22,-5.43,2.1,1.27,4.89,5.82,0.01,10,2,28,28,6,18,22,8,28,28,-7.56,8.45,7.65,8.29,12,6,10.74,-3.1,6.43,8.3,21,13,34,5,11,6,27,10,3,31,15.63,24.08,2.41,25.87,14.65,10.95,-2.17,31.3,4.13,1.2,-7.06,-3.09,-1.54,0.21,-6.13,1.96,1.32,4.37,6.61,0.4,-7.37,7.8,9.98,5.75,11.23,4.22,11.7,-4.18,4.22,9.98,36,36,34,33,31,30,30,28,28,28,38,38,38,38,38,38,37,37,37,37,34,35,36,36,36,36,36,37,37,38
